 difficulty | occurrences 
       -864 |           7
       -837 |           2
       -477 |           1
       -446 |           1
       -432 |           1
          0 |           1
   15997152 |           1
   18996165 |           1
   18996662 |           1
   19998155 |           2
   20988250 |           1
   20993361 |           1
   20998026 |           1
   20998092 |           1
   20998155 |           1
   21996545 |           1
   21997532 |           1
   21997694 |           1
   21998092 |           1
   21998155 |           1
   22994485 |           1
   22996582 |           1
   22997042 |           1
   22998092 |           1
   22998155 |           1
   23992459 |           1
   23996662 |           1
   23997138 |           1
   23997694 |           1
   23997841 |           1
   23997882 |           1
   23998092 |           1
   23998215 |           1
   23998662 |           2
   24988789 |           1
   24996185 |           1
   24996772 |           1
   24996804 |           1
   24997152 |           1
   24997233 |           1
   24997694 |           2
   24999108 |           1
   25996545 |           1
   25997532 |           2
   25997615 |           2
   25997694 |           1
   25998215 |           1
   25998617 |           1
   25999078 |           1
   26992774 |           1
   26993347 |           1
   26994468 |           1
   26996008 |           1
   26996772 |           1
   26997138 |           2
   26997615 |           1
   26997694 |           1
   26998092 |           1
   26998155 |           2
   26998215 |           1
   26998519 |           1
   26998569 |           1
   26998617 |           1
   26999013 |           1
   26999046 |           1
   26999078 |           1
   27989759 |           1
   27990114 |           1
   27990196 |           1
   27990990 |           1
   27993854 |           1
   27996545 |           1
   27996772 |           1
   27997323 |           1
   27997615 |           4
   27997694 |           1
   27998026 |           1
   27998092 |           2
   27998155 |           5
   27998569 |           1
   27998617 |           1
   27998662 |           1
   28994219 |           1
   28996772 |           1
   28997323 |           1
   28997445 |           1
   28997615 |           1
   28997694 |           1
   28997769 |           1
   28998026 |           1
   28998092 |           4
   28998155 |           5
   28998272 |           1
   28998569 |           1
   28998617 |           3
   28998662 |           2
   28999078 |           1
   29989568 |           1
   29991329 |           1
   29992051 |           1
   29993070 |           1
   29993673 |           1
   29993763 |           1
   29994942 |           1
   29995475 |           1
   29995526 |           1
   29996185 |           1
   29996772 |           1
   29996856 |           1
   29996877 |           1
   29996927 |           1
   29996934 |           1
   29996984 |           1
   29997138 |           2
   29997255 |           1
   29997323 |           1
   29997532 |           2
   29997615 |           1
   29997694 |           1
   29997769 |           2
   29998026 |           2
   29998082 |           1
   29998092 |           3
   29998155 |           9
   29998215 |           1
   29998569 |           1
   29998617 |           4
   29998662 |           2
   29998896 |           1
   30991714 |           1
   30993070 |           1
   30993763 |           1
   30994456 |           1
   30994873 |           1
   30995859 |           1
   30996311 |           1
   30996535 |           1
   30996545 |           1
   30996877 |           2
   30997039 |           1
   30997138 |           1
   30997233 |           2
   30997323 |           3
   30997532 |           2
   30997541 |           1
   30997615 |           5
   30997694 |           5
   30997841 |           1
   30997956 |           1
   30998026 |           1
   30998092 |           4
   30998155 |           2
   30998215 |           2
   30998272 |           1
   30998467 |           1
   30998617 |           1
   30998662 |           1
   30999046 |           1
   31990567 |           1
   31991167 |           1
   31992682 |           1
   31993347 |           1
   31994247 |           1
   31995149 |           1
   31995343 |           1
   31996535 |           1
   31997039 |           1
   31997233 |           2
   31997615 |           5
   31997694 |           1
   31997721 |           2
   31997769 |           1
   31997841 |           1
   31998026 |           1
   31998092 |           6
   31998155 |           6
   31998215 |           1
   31998519 |           2
   31998569 |           2
   31998617 |           5
   31998662 |           1
   31998704 |           1
   32988044 |           1
   32990951 |           1
   32991384 |           1
   32992969 |           1
   32993608 |           1
   32994485 |           1
   32994676 |           1
   32996312 |           1
   32996423 |           1
   32996706 |           1
   32996927 |           1
   32997138 |           1
   32997255 |           1
   32997339 |           1
   32997409 |           1
   32997443 |           1
   32997532 |           1
   32997615 |           2
   32997694 |           4
   32997769 |           2
   32997841 |           1
   32997956 |           1
   32998026 |           3
   32998092 |           8
   32998155 |          12
   32998215 |           3
   32998519 |           1
   32998569 |           1
   32998617 |           4
   32998662 |           2
   32998704 |           1
   32998978 |           1
   32999046 |           1
   32999078 |           1
   33990196 |           1
   33992459 |           1
   33992774 |           1
   33993026 |           1
   33993698 |           1
   33994233 |           1
   33994485 |           1
   33994678 |           1
   33994721 |           1
   33995526 |           1
   33995708 |           1
   33995764 |           1
   33995842 |           1
   33996451 |           1
   33996545 |           1
   33996772 |           3
   33996804 |           2
   33997039 |           1
   33997138 |           1
   33997233 |           2
   33997323 |           1
   33997339 |           1
   33997532 |           2
   33997615 |           5
   33997694 |           4
   33998007 |           1
   33998026 |           1
   33998082 |           1
   33998092 |           6
   33998155 |          12
   33998215 |           7
   33998519 |           2
   33998569 |           2
   33998617 |           8
   33998662 |           2
   33998704 |           2
   33999078 |           1
   34991033 |           1
   34992051 |           1
   34992413 |           1
   34995343 |           1
   34995475 |           1
   34995558 |           1
   34995859 |           1
   34996451 |           1
   34996535 |           1
   34996674 |           1
   34996772 |           1
   34996927 |           1
   34997039 |           1
   34997138 |           8
   34997228 |           1
   34997233 |           5
   34997255 |           1
   34997532 |           5
   34997615 |           7
   34997694 |           6
   34997956 |           1
   34998004 |           2
   34998026 |           5
   34998082 |           1
   34998092 |           8
   34998155 |          10
   34998215 |           3
   34998272 |           1
   34998519 |           1
   34998569 |           7
   34998617 |           9
   34998662 |           1
   34999013 |           1
   34999046 |           1
   34999108 |           1
   35992682 |           1
   35993410 |           1
   35993608 |           1
   35995149 |           1
   35995268 |           1
   35995273 |           1
   35995343 |           2
   35995697 |           1
   35996012 |           1
   35996052 |           1
   35996185 |           1
   35996387 |           1
   35996451 |           1
   35996545 |           1
   35996582 |           1
   35996804 |           1
   35996934 |           1
   35997039 |           1
   35997042 |           2
   35997138 |           2
   35997233 |           5
   35997255 |           3
   35997323 |           1
   35997352 |           1
   35997532 |           2
   35997615 |          10
   35997694 |           7
   35997769 |           1
   35997792 |           1
   35997841 |           1
   35998026 |           1
   35998092 |          11
   35998155 |          12
   35998215 |           5
   35998272 |           2
   35998467 |           1
   35998519 |           4
   35998569 |           5
   35998617 |           9
   35998662 |           3
   35998704 |           1
   35998771 |           1
   35999046 |           1
   35999078 |           1
   36000000 |           1
   36989290 |           1
   36992330 |           1
   36993673 |           1
   36993763 |           1
   36994012 |           1
   36995149 |           1
   36995231 |           1
   36995608 |           1
   36995881 |           1
   36996165 |           1
   36996662 |           1
   36996772 |           2
   36996804 |           1
   36997138 |           5
   36997152 |           1
   36997228 |           1
   36997233 |           7
   36997255 |           1
   36997323 |           2
   36997532 |           6
   36997615 |           4
   36997694 |           6
   36997769 |           3
   36997804 |           1
   36998026 |           3
   36998092 |          10
   36998155 |          14
   36998215 |          12
   36998272 |           3
   36998467 |           2
   36998519 |           3
   36998569 |          10
   36998617 |          18
   36998662 |           9
   36998704 |           1
   36999046 |           1
   36999108 |           2
   37991762 |           1
   37992774 |           1
   37993854 |           1
   37994219 |           1
   37994247 |           1
   37994456 |           2
   37994485 |           1
   37994678 |           1
   37994873 |           1
   37995083 |           1
   37996052 |           1
   37996157 |           1
   37996311 |           2
   37996535 |           1
   37996662 |           1
   37997039 |           2
   37997138 |           2
   37997233 |           3
   37997443 |           1
   37997445 |           1
   37997532 |           3
   37997615 |           7
   37997634 |           2
   37997694 |          11
   37997721 |           1
   37997769 |           9
   37998026 |           8
   37998092 |          16
   37998155 |          23
   37998215 |          14
   37998272 |           1
   37998519 |           8
   37998569 |          14
   37998617 |          20
   37998662 |           7
   37998704 |           2
   37998771 |           2
   37998861 |           1
   37998941 |           1
   37999013 |           2
   37999046 |           3
   37999078 |           5
   37999108 |           1
   38000000 |           1
   38990990 |           1
   38991762 |           1
   38992682 |           1
   38993763 |           1
   38994676 |           1
   38994886 |           1
   38995807 |           1
   38996185 |           1
   38996311 |           1
   38996545 |           1
   38996772 |           2
   38996804 |           1
   38997039 |           4
   38997138 |           3
   38997228 |           1
   38997233 |           2
   38997409 |           2
   38997532 |           5
   38997541 |           1
   38997615 |          11
   38997694 |          11
   38997769 |           1
   38997804 |           1
   38997841 |           1
   38997908 |           1
   38997956 |           1
   38998007 |           1
   38998026 |           6
   38998092 |          18
   38998155 |          26
   38998156 |           1
   38998215 |          14
   38998272 |           1
   38998467 |           2
   38998519 |          10
   38998569 |          18
   38998617 |          22
   38998662 |          11
   38998704 |           2
   38998835 |           1
   38999013 |           1
   38999046 |           5
   38999078 |           2
   38999108 |           3
   38999136 |           2
   39992682 |           1
   39993213 |           1
   39993239 |           1
   39993763 |           2
   39994022 |           1
   39994085 |           1
   39994678 |           1
   39995149 |           1
   39995608 |           1
   39996008 |           1
   39996229 |           1
   39996311 |           1
   39996451 |           2
   39996772 |           2
   39996984 |           1
   39997042 |           1
   39997138 |           6
   39997233 |           5
   39997445 |           1
   39997532 |           4
   39997615 |           8
   39997634 |           1
   39997694 |           9
   39997769 |           1
   39997841 |           1
   39997921 |           1
   39998026 |           3
   39998092 |          27
   39998155 |          20
   39998215 |          19
   39998272 |           1
   39998467 |           1
   39998519 |           7
   39998569 |          19
   39998617 |          28
   39998662 |          16
   39998704 |           2
   39999013 |           4
   39999046 |          10
   39999078 |          10
   39999108 |           6
   39999136 |           1
   39999554 |           1
   40000000 |           1
   40990567 |           1
   40993673 |           1
   40994012 |           2
   40994942 |           1
   40995443 |           1
   40995526 |           1
   40995608 |           1
   40995764 |           1
   40996008 |           1
   40996052 |           1
   40996311 |           1
   40996312 |           1
   40996451 |           2
   40996545 |           1
   40996772 |           1
   40996934 |           1
   40997042 |           1
   40997138 |           3
   40997233 |           8
   40997323 |           2
   40997339 |           1
   40997409 |           1
   40997532 |           2
   40997615 |          13
   40997694 |          12
   40997721 |           1
   40997769 |           7
   40997841 |           1
   40997956 |           1
   40998026 |           4
   40998092 |          31
   40998155 |          28
   40998156 |           1
   40998215 |          17
   40998272 |           3
   40998291 |           2
   40998411 |           1
   40998467 |           4
   40998519 |           6
   40998569 |          30
   40998617 |          44
   40998662 |          20
   40998704 |           6
   40998817 |           1
   40998861 |           1
   40998902 |           2
   40998978 |           1
   40999013 |           4
   40999046 |          23
   40999078 |          20
   40999108 |           7
   40999523 |           1
   41992377 |           1
   41992910 |           1
   41993347 |           1
   41993608 |           1
   41993967 |           1
   41994219 |           1
   41994468 |           1
   41994678 |           1
   41994721 |           1
   41995149 |           2
   41995231 |           1
   41995343 |           1
   41995526 |           1
   41995664 |           1
   41995697 |           3
   41995859 |           1
   41996015 |           1
   41996229 |           1
   41996312 |           1
   41996545 |           1
   41996582 |           1
   41996772 |           1
   41997138 |           3
   41997233 |           4
   41997323 |           1
   41997532 |           3
   41997541 |           1
   41997615 |           7
   41997694 |           5
   41997769 |           6
   41997804 |           1
   41997956 |           3
   41998026 |          13
   41998092 |          25
   41998155 |          29
   41998156 |           1
   41998215 |          15
   41998225 |           1
   41998272 |           1
   41998291 |           1
   41998467 |           3
   41998519 |          13
   41998569 |          36
   41998617 |          51
   41998619 |           1
   41998662 |          26
   41998704 |           5
   41998722 |           1
   41998745 |           1
   41998902 |           1
   41998978 |           1
   41999013 |          12
   41999046 |          22
   41999078 |          26
   41999108 |          13
   41999136 |           1
   41999307 |           1
   41999408 |           1
   41999430 |           1
   41999489 |           1
   41999506 |           1
   41999523 |           3
   41999539 |           1
   42000000 |           1
   42991683 |           1
   42993763 |           1
   42994012 |           1
   42994085 |           1
   42994479 |           1
   42994721 |           1
   42995059 |           1
   42995083 |           1
   42995149 |           1
   42995697 |           1
   42995842 |           2
   42995859 |           1
   42996157 |           1
   42996545 |           2
   42996772 |           1
   42996804 |           1
   42996927 |           1
   42997039 |           2
   42997138 |           5
   42997228 |           1
   42997233 |           3
   42997409 |           1
   42997445 |           2
   42997532 |           7
   42997615 |          12
   42997694 |          13
   42997769 |           6
   42997956 |           1
   42998026 |           7
   42998092 |          26
   42998155 |          28
   42998215 |          20
   42998272 |           3
   42998353 |           1
   42998467 |           2
   42998519 |          16
   42998569 |          32
   42998617 |          61
   42998662 |          19
   42998704 |           5
   42998817 |           2
   42998902 |           1
   42998941 |           1
   42998978 |           4
   42999013 |          12
   42999046 |          49
   42999078 |          46
   42999108 |          17
   42999136 |           4
   42999361 |           1
   42999470 |           1
   42999489 |           2
   42999506 |           4
   42999523 |           6
   42999539 |           7
   42999554 |           2
   43992624 |           1
   43993213 |           1
   43993497 |           1
   43993608 |           1
   43993698 |           1
   43993854 |           1
   43994456 |           1
   43995083 |           1
   43995149 |           2
   43996061 |           1
   43996165 |           1
   43996312 |           1
   43996545 |           1
   43996706 |           1
   43996772 |           3
   43996804 |           1
   43996934 |           1
   43996977 |           1
   43997138 |           4
   43997228 |           1
   43997233 |           5
   43997323 |           1
   43997339 |           1
   43997445 |           2
   43997532 |           1
   43997615 |           8
   43997694 |          16
   43997769 |           3
   43997841 |           1
   43997882 |           1
   43997956 |           1
   43998026 |           9
   43998092 |          24
   43998155 |          36
   43998156 |           1
   43998215 |          16
   43998220 |           1
   43998225 |           1
   43998272 |           1
   43998411 |           1
   43998467 |           5
   43998492 |           1
   43998519 |          16
   43998569 |          47
   43998617 |          66
   43998662 |          25
   43998704 |           3
   43998817 |           1
   43998902 |           1
   43998941 |           1
   43998978 |           3
   43999013 |          24
   43999046 |          47
   43999078 |          47
   43999108 |          31
   43999136 |           2
   43999408 |           1
   43999489 |           4
   43999506 |           7
   43999523 |          12
   43999539 |           9
   43999554 |           5
   43999568 |           1
   44000000 |           2
   44994012 |           1
   44994219 |           1
   44994303 |           1
   44994676 |           1
   44995149 |           1
   44995343 |           2
   44996008 |           1
   44996165 |           1
   44996185 |           1
   44996312 |           1
   44996545 |           1
   44996662 |           1
   44996927 |           1
   44996934 |           1
   44997039 |           1
   44997042 |           1
   44997138 |           3
   44997233 |           6
   44997255 |           1
   44997323 |           5
   44997445 |           1
   44997532 |           4
   44997615 |           9
   44997634 |           1
   44997694 |           9
   44997721 |           1
   44997769 |           1
   44997832 |           1
   44997841 |           1
   44997956 |           3
   44998026 |          11
   44998092 |          23
   44998155 |          34
   44998215 |          14
   44998225 |           1
   44998272 |           7
   44998335 |           1
   44998411 |           1
   44998467 |           1
   44998519 |          22
   44998569 |          50
   44998617 |          76
   44998662 |          46
   44998704 |           9
   44998861 |           1
   44998941 |           1
   44998978 |           3
   44999004 |           1
   44999013 |          27
   44999046 |          60
   44999078 |          72
   44999108 |          40
   44999136 |           5
   44999163 |           1
   44999335 |           1
   44999489 |           6
   44999506 |           8
   44999523 |          14
   44999539 |          14
   44999554 |           8
   44999568 |           3
   45000000 |           1
   45992330 |           1
   45993854 |           1
   45993967 |           1
   45994012 |           1
   45994678 |           1
   45994886 |           1
   45994942 |           1
   45995059 |           1
   45995475 |           1
   45996545 |           1
   45996662 |           3
   45996772 |           1
   45996804 |           1
   45996877 |           1
   45997138 |           2
   45997152 |           2
   45997233 |           2
   45997323 |           2
   45997532 |           4
   45997615 |          10
   45997634 |           1
   45997694 |          21
   45997769 |           6
